aaronita a.a.4o"ni.ta
ababa a"Ba.Ba
ababol a"Ba.Bol
abacal a.Ba"kal
abacalero a.Ba.ka"le.4o
abacial a.Ba"sjal
abacorar a.B_oa.ko"4a4
abad a"BaD
abada a"Ba.Da
abadejo a.Ba"De.xo
abadengo a.Ba"DeN.go
abadernar a.Ba.De4"na4
abadesa a.Ba"De.sa
abadiado a.Ba"Dja.Do
abadiato a.Ba"Dja.to
abajadero a.Ba.xa"De.4o
abajamiento a.Ba.xa"mien.to
abajar a.ba"xa4
abajera a.Ba"xe.4a
abalada a.Ba.la.Da
abalanzar a.Ba.lan"sa4
abalar a.Ba"la4
abalaustrado a.Ba.laus"t4a.do
abaldonadamente a.Bal.do"na.Da"men.te
abaldonamiento a.Bal.d_do.na"mjen.to
abaleador a.Ba.le.a"Do4
abaleadura a.Ba.lea"Du.4a
abalizamiento a.Ba.li.sa"mjen.to
abalizar a.Ba.li"sar
aballestar a.ba"ʎes.ta4
abalorio a.ba."lo.4jo
abaluartar a.Ba.lwa4"ta4
abanador a.Ba.na"Do4
abanar a.Ba."na4
abancalar a.BaN.ka"la4
abanderamiento a.B_oan_d.d_de.4a"mjen_d.t_do
abanderizador a.B_oan_d.d_de.4i.s˖a."δ_oo4
abanderizar a.Ban.de.4i"sa4
abandonamiento a.B_oan_d.d_do.nã."mi_^en_d.t_do
abandonar a.ban.do."nar
abandonismo a.Ban.do"nis.mo
abandonista a.Ban.do"nis.ta
abanear a.Ba.ne"a4
abanicar a.Ba.ni"ka4
abanicazo a%Ba.ni"ka.so
abanillo a.Ba"ni.j\o
abanino a.Ba"ni.no
abaniqueo a.%Ba.ni."ke.o
abaniquero a.Ba.ni"ke.4o
abanto a"Ban_d.to
abarajar a.Ba.4a"xa4
abaratamiento a.Ba.4a.ta"mjen_d.to
abaratar a.ba.4a."tar
abarbechar a.Ba4.Be"t͡Sa4
abarbetar a.Ba4.Be.te"a4
abarcador a.Ba4.ka"Do4
abarcadura a.Ba4.ka"Du.4a
abarcamiento a.Ba4.ka"mjen_d.to
abarcar a.bar."kar
abarcuzar a.Ba4.ku"sa4
abareque a.Ba"4e.ke
abaritonado a.Ba.4i.to"na.Do
abarquero a.Ba4"ke.4o
abarquillamiento a.Ba4.ki.ʎa"mjen.to
abarracar a.Ba.ra.ka4
abarraganarse a.Ba.ra.ga"na4.se
abarrajar a.Ba.ra"xa4
abarramiento a.B_oa.ra."mi_^en_d.t_do
abarrancadero a.Ba.raN.ka"De.4o
abarrancamiento a.Ba.ran.ka."mjen.to
abarrancar a.Ba.raN"ka4
abarraz a.Ba"ras
abarredera a.ba"re.De.4a
abarrenar a.Ba.re"na4
abarrer a.Ba"re4
abarrisco a.Ba"ris.ko
abarrotar a.Ba.ro"ta4
abarrotero a.Ba.ro"te.4o
abastadamente a.Bas"ta.Da"men.te
abastamiento a.bas.ta"mjen_d.to
abastante a.Bas"tan_d.te
abastanza a.Bas"tan.sa
abastar a.Bas"ta4
abastardar a.Bas.ta4"Da4
abastecedor a.Bas.te.se"Do4
abastecer a.Bas.te"se4
abastecimiento a.Bas.te.si"mjen.to
abastero a.B_oas_d."t_de.4o
abastimiento a.B_oas_d.t_di."mi_^en_d.t_do
abatanar a.Ba.ta"na4
abatatamiento a.Ba.ta.ta"mjen.to
abatatar a.Ba.ta"ta4
abatidero a.Ba.ti"De.4o
abatidura a.Ba.ti."Du.4a
abatimiento a.Ba.ti"mjen.to
abatir a.Ba"ti4
abatismo a.Ba"tis.mo
abatojar a.Ba.to"xa4
abayado a.Ba"j\a.do
abderitano ab.de."4i.ta.no
abdicar aB.Di"ka4
abdicativo aB.Di.ka"ti.Bo
abdomen aB"Do.men
abdominal aB.Do.mi"nal
abductor aB.Duk"to4
abecedario a.Be.se."Da.4jo
abedul a.Be."Dul
abeja a."Be.xa
abejar a.be."xar
abejear a.Be.xe."a4
abejero a.Be"xe.4o
abejonear a.Be.xo.ne"a4
abejorro a.Be"xo.ro
abejuno a.Be."Xu.no
abeldar a.bel."Da4
abelmosco a.Bel"mos.ko
abemoladamente a.Be.mo"la.Da"men_d.te
abemolar a.Be.mo"la4
abencerraje a.Ben.se"ra.xe
aberenjenado a.Be.4en.xe"na.Do
aberrante a.Be"ran_d.te
aberrar a.Be"ra4
abertal a.Be4"tal
abertura a.Be4"tu.ra
aberzale a.Be4"sa.le
abesana a.be"sa.na
abetal a.Be"tal
abetar a.Be"ta4
abete a"Be.te
abetinote a.Be.ti"no.te
abeto a."Be.to
abetuna a.Be"tu.na
abetunar a.Be.tu"na4
abey a"Bej
abia "a.Bja
abiar a"Bja4
abicharse a.Bi"tSa4.se
abiertamente a.Bje4.ta"men_d.te
abietino a.Bje"ti.no
abigarramiento a.Bi.Ga.ra."mjen.to
abigarrar a.Bi.Ga."ra4
abigeato a.Bi.xe"a.to
abigeo a.Bi"xe.o
abigotado a.Bi.M\o"ta.Do
abinar a.Bi."na4
abintestato a.Bin.tes"ta.to
abisagrar a.Bi.sa."G4a4
abisal a.B_oi"sal
abiselar a.Bi.se"la4
abisinio a.Bi."si.njo
abismar a.Bis"ma4
abiso a"Bi.so
abitaque a.Bi."ta.ke
abitar a.Bi"ta4
abizcochado a.B_ois.ko."ʧa.do
abjurar aB.xu"4a4
ablandabrevas a.Blan.da"B4e.Bas
ablandador a.Blan.Da"Do4
ablandamiento a.Blan.da"mien_d.to
ablandar a.Blan"da4
ablandativo a.blan.da."ti.Bo
ablandecer a.Blan.de"se4
ablanedo a.bla"ne.Do
ablano a"Bla.no
ablativo a.bla"ti.Bo
ablegado a.Ble"M\a.Do
ablentador a.Blen_d.ta"Do4
ablentar a.Blen_d"ta4
ablusado a.Blu"sa.Do
abnegar ap.ne"M\a4.se
abobamiento a.Bo.Ba"mjen_d.to
abobar a.Bo"Ba4
abobra a"Bo.B4a
abocadear a.Bo.ka.De"a4
abocamiento a.Bo.ka"mjen_d.to
abocanar a.Bo.ka"na4
abocar a.Bo"ka4
abocardar a.B_oo.kar."dar
abocelado a.Bo.se"la.Do
abocetado a.Bo.se"ta.Do
abocetamiento a.Bo.se.ta"mjen_d.to
abocetar a.B_oo.se."tar
abochornar a.B_oo.ʧo4."na4
abocinamiento a.bo.si.na"mjen.to
abocinar a.Bo.si"na4
abofarse a.Bo"fa4.se
abofeteador a.Bo.fe.tea"Do4
abofetear a.Bo.fe.te"a4
abogadesco a.Bo.Ga"Des.ko
abogadil a.Bo.Ga"Dil
abogadismo a.Bo.M\a"dis.mo
abogador a.Bo"M\a.do4
abogamiento a.Bo.Ga"mjen_d.to
abogar a.Bo"M\a4
abohetado a.Bo.e"ta.Do
abolaga a.Bo"la.Ga
abolengo a.Bo"leN.go
abolicionismo a.Bo.li.sjo"nis.mo
abolicionista a.Bo.li.sjo"nis.ta
abolir a.Bo."li4
abolorio a.Bo"lo.4jo
abolsarse a.Bol"sa4.se
abomaso a.Bo."ma.so
abombamiento a.Bom.ba"mjen_d.to
abombar a.Bom"ba4
abominable a.Bo.mi"na.Ble
abominar a.Bo.mi"nar
abonable a.Bo"na.Ble
abonador a.Bo.na"Do4
abonanzar a.Bo.nan"sar
abonar a.Bo"nar
abondar a.Bon_d"da4
abondo a"Bon_d.do
abondoso a.Bon"do.so
abonero a.Bo"ne.4o
aboral a.Bo"4al
abordable a.Bo4."da.Ble
abordador a.Bo4.Da"Do4
abordaje a.Bo4.Da.xe
abordar a.Bo4"Da4
abordonar a.Bo4.Do"na4
aborigen a.bo"4i.xen
aborlonado a.Bo4.lo"na.Do
aborrachado a.Bo.ra"tSa.Do
aborrajarse a.Bo.ra"xa4.se
aborrascarse a.Bo.ras"ka4.se
aborrecedor a.Bo.re.se"Do4
aborrecer a.Bo.re"se4
aborrecible a.Bo.re"si.Ble
aborrecimiento a.Bo.re.si"mjen_d.to
aborregarse a.Bo.re"Ga4.se
aborrible a.Bo"ri.Ble
aborrir a.Bo"ri4
aborronar a.Bo.ro"na4
aborso a"Bo4.so
abortadura a.Bo4.ta"Du.4a
abortamiento a.Bo4ta"mjen_d.to
abortar a.Bo4"ta4
abortista a.Bo4"tis.ta
abortivo a.Bo4"ti.Bo
aborujar a.Bo.4u"xa4
abotagamiento a.Bo.ta.Ga"mjen_d.to
abotagarse a.Bo.ta"Ga4.se
abotargarse a.Bo.ta4"Ga4.se
abotinado a.Bo.ti"na.Do
abotonar a.Bo.to"na4
abovedar a.Bo.Be"Da4
aboyar a.Bo"j\ar
abozalar a.Bo.sa"la4
abozo a"Bo.so
abracadabra a.B4a.ka"Da.B4a
abracadabrante a.B4a"ka.Da%B4an_d.te
abracar a.Bra"ka4
abracijarse a.B4a.si"xa4.se
abracijo a.B4a"si.xo
abrasadamente a.B4a"sa.Da%men_d.te
abrasador a.B4a.sa"Do4
abrasamiento a.B4a.sa"mjen_d.to
abrasar a.B4a"sa4
abrasilado a.B4a.si"la.Do
abrasivo a.B4a"si.Bo
abravar a.B4a"Ba4
abravecer a.B4a.Be"se4
abraxas a"B4a.ksas
abrazada a.B4a"sa.Da
abrazadera a.B4a.sa"De.4a
abrazador a.B4a.sa"Do4
abrazamiento a.B4a.sa"mjen_d.to
abrazar a.b4a."sar
abreboca a.B4e"Bo.ka
abrecartas a.B4e"ka4.tas
abrecoches a.B4e"ko.tSes
abregancias a.B4e"Gan.sjas
abrelatas %a.B4e"la.tas
abrenunciar a.B4e%nun"sja4
abrenuncio a.B4e"nun.sjo
abreojos "a.B4e"o.xos
abretonar a.B4e.to"na4
abrevadero a.B4e.Ba"De.4o
abrevar a.B4e"Ba4
abreviamiento a.B4e.Bja"mjen_d.to
abreviar a.B4e"Bja4
abreviatura a.B4e.Bja"tu.4a
abrezar a.B4e"sa4
abriboca a.B4i"Bo.ka
abribonarse a.B4i.Bo"na4.se
abridero a.B4i"De.4o
abrigadero a.B4i.Ga"De.4o
abrigadura a.B4i.Ga"Du.4a
abril a"B4il
abrir a"B4i4
abrochador a.B4o"tSa.Do4
abrochar a.B4o"tSa4
abromar a.B4o"ma4
abroncar a.B4oN"ka4
abroquelar a.B4o.ke"la4
abrumarse a.B4u"ma4.se
abrunal a.B4u"nal
abrupto a"B4up.to
abrutado a.B4u"ta.Do
abruzarse a.B4u"sa4.se
absceso abs."se.so
abscisa abs"si.sa
absconder aps.kon"de4
absencia aB"sen.sja
absenta aB"sen_d.ta
absentarse aB.sen_d"ta4.se
absente aB"sen_d.te
absentismo aB.sen_d"tis.mo
absentista aB.sen_d"tis,ta
absidal aB.si"Dal
absintio aB"sin_d.tjo
absolutamente aB.so"lu.ta%men_d.te
absolutidad aB.so.lu.ti"DaD
absolutismo ab.so.lu."tis.mo
absolutista aB.so.lu"tis.ta
absoluto aB.so"lu.to
absolutorio aB.so.lu"to.4jo
absolvederas aB.sol.Be"De.4as
absolver aB.sol."Be4
absorbente aB.so4"Ben_d.te
absorber ab.so4"Be4
absorbimiento aB.so4.Bi"mjen_d.to
absortar aB.so"ta4
abstemio aBs"te.mjo
abstencionismo aBs.ten_dsjo"nis.mo
abstencionista aBs.ten_d.sjo"nis.ta
abstener aBs.te"ne4
abstergente aBs.te4"Gen_d.te
absterger aBs.te4"xe4
abstersivo aBs.te4"si.Bo
abstinencia a(B)s.ti"nen.sja
abstinente aBs.ti"nen_d.te
abstractivo aBs.t4ak"ti.Bo
abstracto aBs"t4ak.to
abstraer abs.t4a"e4
abstruso abs"t4u.so
absurdidad aB.su4.Di"DaD
absurdo ap"su4.Do
abubo a"Bu.Bo
abuchear a.Bu"tSea.4
abuela a"Bwe.la
abuelastro a.Bwe"las.t4o
abuelo a"Bwe.lo
abuhado a.Bu"a.Do
abuhamiento a.Bu.a"mjen_d.to
abujardar a.Bu.xa4"Da4
abuje a"Bu.xe
abulaga a.Bu"la.Ga
abulagar a.Bu.la"Ga4
abulense a.Bu"len.se
abulia a"Bu.lja
abulonar a.Bu.lo."na4
abultamiento a"Bul.ta%mjen_d.to
abultar a.Bul"ta4
abundamiento a.Bun_d.da"mjen_d.to
abundancia a.Bun"dan.sja
abundancial a%Bun_d.dan_d"sjal
abundante a.Bun_d"dan_d.te
abundantemente a.Bun_d"Dan_d.te"men_d.te
abundar a.Bun.da4
abundoso a.Bun_d"do.so
abur a"Bu4
aburar a.bu."4ar
aburelado a.Bu.4e"la.Do
aburguesamiento a.Bu4%Ge.sa"mjen_d.to
aburguesarse a.Bu4.Ge"sa4.se
aburrarse a.Bu"ra4.se
aburridamente a.Bu"ri.Da%men_d.te
aburridor a.Bu.ri"Do4
aburrimiento a.Bu.ri"mjen_d.to
aburrir a.Bu"ri4
aburujar a.Bu.4u"xa4
abusador a.Bu.sa"Do4
abusar a.Bu"sar
abusionero a.Bu.sjo"ne.4o
abusivo a.Bu"si.Bo
abuzarse a.Bu"sa4.se
abyecto aB"j\ek.to
aca "a.ka
acabable a.ka"Ba.Ble
acabada a.ka."Ba.Da
acabadamente a.ka"Ba.Da%men_d.te
acabador a.ka.Ba"Do4
acabalar a.ka.Ba."la4
acabamiento a.ka.Ba"mjen_d.to
acabar a.ka"Bar
acabijo a.ka"Bi.xo
acabildar a.ka.Bil"Da4
acabose a.ka"Bo.se
acabronado a.ka.B4o"na.Do
acacharse a.ka"tSa4.se
acachetar a.ka.tSe"ta4
acachetear a.ka.tSe"te.a4
acachorrar a.ka.tSo"ra4
acacia a"ka.sja
acaciano a.ka"sja.no
academia a.ka"De.mja
academicismo a.ka.De.mi"sis.mo
academicista a.ka.De.mi"sis.ta
academio a.ka"De.mjo
academista a.ka.De"mis.ta
academizar a.ka.De.mi"sa4
acadio a"ka.Djo
acaecedero a.kae.se"De.4o
acaecimiento a.ka.e.si"mjen_d.to
acafresna a.ka"f4es.na
acaguasarse a.ka.Gwa"sa4.se
acahual a.ka"wal
acairelar a.kaj.4e"la4
acal a"kal
acalabrotar a.ka.la.B4o"ta4
acalambrar a.ka.lam"B4a.4
acaldar a.kal"Da4
acalefo a.ka.le"fo
acalenturarse a.ka"len_d.tu"4a4.se
acalia a"ka.lja
acalmar a.kal"ma4
acaloradamente a.ka.lo"4a.Da%men_d.te
acaloramiento a.ka.lo.4a"mjen_d.to
acalorar a.ka.lo"4a4
acalugar a.ka.lu"Ga4
acalumniador a.ka%lum.nja"Do4
acalumniar a.ka.lum"nja.4
acamar a .ka"ma4
acamaya a.ka"ma.j\a
acambrayado a.kam.B4a"j\a.Do
acampamento a.kam.pa"men_d.to
acampanar a.kam.pa"na4
acampar a.kam"pa4
acamuzado a.ka.mu"sa.Do
acanaladura a.ka.na.la"Du.4a
acanalar a.ka.na"la4
acandilado a.kan_d.di"la.Do
acanelado a.ka.ne"la.Do
acanelonar a.ka.ne.lo"na4
acantalear a.kan_d.ta"le.ar
acantarar a%kan_d.ta"4a4
acantear a%kan_d"te.ar
acantilar a%kan_d.ti"la4
acantinflado a%kan_d.tin"fla.Do
acantio a"kan_d.tjo
acanto a"kan.to
acantonamiento a%kan_d.to.na"mjen_d.to
acantonar a%kan_d.to"na4
acantopterigio a%kan_d.top.te"4i.xjo
acaparador a.ka.pa.4a"Do4
acaparamiento a.ka.pa.4a"mjien_d.to
acaparar a.ka.pa"4a4
acaparrosado a.ka.pa.ro"sa.Do
acapizarse a.ka.pi"sa4.se
acaponado a.ka.po"na.Do
acaracolado a.ka.4a.ko"la.Do
acarambanado a.ka.4am.ba"na.Do
