mies mjes
acojinar a.ko.xiˈnaɾ
relegar re.leˈγaɾ
despiertamente desˈpjeɾ.taˈmen̪.te
desembargar de.sem.bar.ˈgar
afligidamente a.fliˈxi.ðaˈmen̪.te
abreviatura a.βɾe.βjaˈtu.ɾa
antiimperialismo ˌan̪.tim.pe.ɾjaˈlis.mo
colonial ko.loˈnjal
sutilizador su.ti.li.saˈðoɾ
deshumedecer des.u.me.ðeˈseɾ
enfortecer eɱ.foɾ.teˈseɾ
oledero o.leˈðe.ɾo
gentil xenˈtil
xilema ksi.ˈle.ma
verdulero beɾ.ðuˈle.ɾo
orfanidad oɾ.fa.niˈðað
despabiladeras des.pa.βi.la.ˈðe.ɾas
fango ˈfaŋ.go
agramado a.ɣɾaˈma.ðo
fragmento fɾaɰˈmen.to
muguete mu.ˈge.te
puntal punˈtal
puridad pu.ɾiˈðað
fuente ˈfwen̟.te
adujar a.ðuˈxaɾ
septiembre sepˈtjem.bɾe
robustecer ro.βus.teˈseɾ
inmensidad in.men.siˈðað
gula ˈgu.la
adoptivo a.ðopˈti.βo
tordillo toɾˈði.ʒo
notable no.ˈta.βle
forzamiento foɾ.saˈmjen.to
gaznate gasˈna.te
prensil pɾen.ˈsil
saqueo saˈkeo
cedazo seˈða.so
esperma esˈpeɾ.ma
comprensible kom.pɾenˈsi.βle
raigambre raj.ˈɰam.βɾe
portaaviones poɾ.ta.ˈβjo.nes
fragancia fɾaˈɣan.sja
arre ˈa.re
calamar ka.laˈmaɾ
cigarra si.'ɣa.r̄a
fresno ˈfɾes.no
arelar a.ɾeˈlaɾ
nacimiento na.siˈmjen.to
cambur kamˈbuɾ
prioresa pɾi.oˈɾe.sa
biosfera bjosˈfe.ɾa
apencar a.peŋ.ˈkaɾ
mitosis mi.ˈto.sis
terrorismo te.roˈɾis.mo
accidentalmente ak.si.ðen̪ˈtalˌmen̪.te
trivialmente tɾiˈβjal.men̪.te
guardapuerta gwaɾ.ðaˈpweɾ.ta
reptil repˈtil
refutar refuˈtaɾ
algotro al.ˈγo.tɾo
acongojador a.koŋ.go.xaˈðoɾ
enfriador en.fɾi.aˈðoɾ
alcoholismo al.ko.oˈlis.mo
bajamar ba.xa.ˈmaɾ
raramente ra.ɾaˈmen̪.te
doctrina dokˈtɾi.na
palmo ˈpal.mo
borrego boˈre.γo
necesario ne.seˈsa.ɾjo
obesidad o.βe.siˈðað
triplicar tɾi.pliˈkaɾ
sangrar saŋˈgɾaɾ
cuchichear ku.t͡ʃi.t͡ʃeˈaɾ
masticar mas.tiˈkaɾ
bandolerismo ban.do.leˈɾis.mo
abreviamiento a.βɾe.βjaˈmjen̪.to
surgir suɾˈxiɾ
acubilar a.ku.βiˈlaɾ
coraza ko'ɾa.sa
chamanto tʃaˈman.to
grifo ˈgɾi.fo
duro ˈdu.ɾo
chiripa tʃiˈɾi.pa
mercado meɾˈka.ðo
ininterrumpido i.nin̪.te.rumˈpi.ðo
rotura ro.ˈtu.ɾa
guarao wa.ˈɾa.o
clerizonte kle.ɾiˈson.te
salud saˈluð
enfermero eɱ.fer.ˈme.ɾo
inflamador in.fla.ma.ˈðoɾ
palazo pa.ˈla.so
portuario poɾˈtwa.ɾjo
renovador re.no.βaˈðoɾ
secuencial se.kwenˈsjal
mapo ˈma.po
tetracordio te.tɾaˈkoɾ.ðjo
incluir iŋ.kluˈiɾ
murmurear muɾ.mu.ɾeˈaɾ
clamorear kla.mo.ɾeˈaɾ
connotar kon.noˈtaɾ
manco ˈmaŋ.ko
escollera es.koˈʝe.ɾa
elipsis e.ˈlip.sis
jengibre xeŋˈxi.βre
tradicional tɾa.ði.sjoˈnal
restaurante res.tawˈɾan.te
chumbimba tʃumˈbim.ba
hipoclorhidria i.po.kloˈɾi.ðɾja
incorporar in.koɾ.po.ˈɾaɾ
hocicar o.siˈkaɾ
deficiencia de.fiˈsjen.sja
meninge me.ˈnin.xe
juvenil χu.βe.ˈnil
ludir luˈðiɾ
septentrional sep.ten̪.tɾjoˈnal
discutidor dis.ku.tiˈðoɾ
aplacar a.plaˈkaɾ
unguiculado uŋ.gi.kuˈla.ðo
penitencia pe.niˈten.sja
sebo ˈse.βo
boniato boˈnja.to
aciemar a.sjeˈmaɾ
crecimiento kɾe.si.ˈmjen.to
oportunamente o.poɾˈtu.naˈmen̪.te
talco ˈtal.ko
pleon ˈple.on
agrura aˈɣɾu.ɾa
monstro ˈmons.tɾo
cron kɾon
picatoste pi.kaˈtos.te
bacina baˈsi.na
cespitoso ses.piˈto.so
posar poˈsaɾ
papanatas pa.paˈna.tas
aceituna a.sejˈtu.na
godo ˈɡoðo
arrobar a.roˈβaɾ
substantivo subs.tan̪ˈti.βo
tufo ˈtu.fo̞
granuja gɾaˈnu.xa
facilidad fa.si.liˈðað
casticismo kas.tiˈsis.mo
aherrojar a.e.roˈxaɾ
elefantino e.le.fan.ˈti.no
bachiller ba.tʃiˈʎeɾ
mandria ˈman̪.dɾja
peste ˈpes.te
glabro ˈgla.βɾo
perdurar peɾ.duˈrar
nudismo nuˈðis.mo
trayectoria tɾa̠.ʝ̞e̞kˈto̞.ɾja̠
grogui ˈgɾo.ɣi
predominancia pɾe.ðo.miˈnan.sja
tiovivo tjoˈβi.βo
eclosionar ek.lo.sjoˈnaɾ
arda ˈaɾ.ða
adoptador a.ðop.taˈðoɾ
corajina ko.ɾaˈxi.na
clienta kliˈen̪.ta
espulgar es.pulˈɰaɾ
telegrafiar te.le.ɣɾaˈfjaɾ
justipreciar xus.ti.pɾe.ˈsjaɾ
armador aɾ.maˈðoɾ
garbanzo gaɾˈβan.so
supremo suˈpɾe.mo
refresco re.ˈfɾes.ko
temu ˈte.mu
potable poˈta.βle
valioso baˈljo.so
acorde aˈkoɾ.ðe
procedimiento pɾo.se.ðiˈmjen.to
julepear xu.le.peˈaɾ
celadamente seˈla.ðaˈmen.te
librazo liˈβɾa.so
gelatinoso xe.la.tiˈno.so
breva ˈbɾe.βa
arreglar a.reˈɰlaɾ
belfo ˈbel.fo
acribar a.kɾiˈβaɾ
abundantemente a.βun̪ˈðan̪.teˈmen̪.te
seis sejs
ilustrador i.lus.traˈðoɾ
guardoso gwaɾˈdo.so
acijado a.siˈxa.ðo
deceso deˈse.so
deszulacar des.su.la.ˈkaɾ
macabro maˈka.βɾo
crinera kɾiˈne.ɾa
chota ˈtʃo.ta
jungla ˈxuŋ.gla
hartura aɾˈtu.ɾa
culteranismo kul.te.ɾaˈnis.mo
nodriza noˈðɾi.sa
eufemismo ew.feˈmis.mo
ilusionar i.lu.sjoˈnaɾ
ovino o.ˈβi.no
picarazado pi.ka.ɾaˈsa.ðo
equivoquista e.ki.βoˈkis.ta
abacial a.βaˈsjal
chicharro t͡ʃiˈt͡ʃa.ro
mucronato mu.kɾoˈna.ta
mocoso moˈko.so
pisto ˈpis.to
ensoberbecer en.so.βeɾ.βeˈseɾ
claquetista kla.keˈtis ta
alfiler al.fiˈleɾ
deshidratar de.si.ðɾaˈtaɾ
abalada a.βa.la.ða
pastor pasˈtoɾ
proeza pɾoˈe.sa
achajuanarse a.tʃa.xwaˈnaɾ.se
desbancar des.βanˈkaɾ
fatigoso fa.tiˈɣo.so
brisote bɾiˈso.te
paraje paˈɾa.xe
