aaronita a.a.ɾoˈni.ta
ababa aˈβa.βa
ababol aˈβa.βol
abacal a.βaˈkal
abacalero a.βa.kaˈle.ɾo
abacial a.βaˈsjal
abacorar a.β̞a.koˈɾaɾ
abad aˈβað
abada aˈβa.ða
abadejo a.βaˈðe.xo
abadengo a.βaˈðeŋ.go
abadernar a.βa.ðeɾˈnaɾ
abadesa a.βaˈðe.sa
abadiado a.βaˈðja.ðo
abadiato a.βaˈðja.to
abajadero a.βa.xaˈðe.ɾo
abajamiento a.βa.xaˈmien.to
abajar a.baˈxaɾ
abajera a.βaˈxe.ɾa
abalada a.βa.la.ða
abalanzar a.βa.lanˈsaɾ
abalar a.βaˈlaɾ
abalaustrado a.βa.lausˈtɾa.do
abaldonadamente a.βal.doˈna.ðaˈmen.te
abaldonamiento a.βal.d̪o.naˈmjen.to
abaleador a.βa.le.aˈðoɾ
abaleadura a.βa.leaˈðu.ɾa
abalizamiento a.βa.li.saˈmjen.to
abalizar a.βa.liˈsar
aballestar a.baˈʎes.taɾ
abalorio a.ba.ˈlo.ɾjo
abaluartar a.βa.lwaɾˈtaɾ
abanador a.βa.naˈðoɾ
abanar a.βa.ˈnaɾ
abancalar a.βaŋ.kaˈlaɾ
abanderamiento a.β̞an̪.d̪e.ɾaˈmjen̪.t̪o
abanderizador a.β̞an̪.d̪e.ɾi.s˖a.ˈδ̞oɾ
abanderizar a.βan.de.ɾiˈsaɾ
abandonamiento a.β̞an̪.d̪o.nã.ˈmi̯en̪.t̪o
abandonar a.ban.do.ˈnar
abandonismo a.βan.doˈnis.mo
abandonista a.βan.doˈnis.ta
abanear a.βa.neˈaɾ
abanicar a.βa.niˈkaɾ
abanicazo aˌβa.niˈka.so
abanillo a.βaˈni.ʝo
abanino a.βaˈni.no
abaniqueo a.ˌβa.ni.ˈke.o
abaniquero a.βa.niˈke.ɾo
abanto aˈβan̪.to
abarajar a.βa.ɾaˈxaɾ
abaratamiento a.βa.ɾa.taˈmjen̪.to
abaratar a.ba.ɾa.ˈtar
abarbechar a.βaɾ.βeˈt͡ʃaɾ
abarbetar a.βaɾ.βe.teˈaɾ
abarcador a.βaɾ.kaˈðoɾ
abarcadura a.βaɾ.kaˈðu.ɾa
abarcamiento a.βaɾ.kaˈmjen̪.to
abarcar a.bar.ˈkar
abarcuzar a.βaɾ.kuˈsaɾ
abareque a.βaˈɾe.ke
abaritonado a.βa.ɾi.toˈna.ðo
abarquero a.βaɾˈke.ɾo
abarquillamiento a.βaɾ.ki.ʎaˈmjen.to
abarracar a.βa.ra.kaɾ
abarraganarse a.βa.ra.gaˈnaɾ.se
abarrajar a.βa.raˈxaɾ
abarramiento a.β̞a.ra.ˈmi̯en̪.t̪o
abarrancadero a.βa.raŋ.kaˈðe.ɾo
abarrancamiento a.βa.ran.ka.ˈmjen.to
abarrancar a.βa.raŋˈkaɾ
abarraz a.βaˈras
abarredera a.baˈre.ðe.ɾa
abarrenar a.βa.reˈnaɾ
abarrer a.βaˈreɾ
abarrisco a.βaˈris.ko
abarrotar a.βa.roˈtaɾ
abarrotero a.βa.roˈte.ɾo
abastadamente a.βasˈta.ðaˈmen.te
abastamiento a.bas.taˈmjen̪.to
abastante a.βasˈtan̪.te
abastanza a.βasˈtan.sa
abastar a.βasˈtaɾ
abastardar a.βas.taɾˈðaɾ
abastecedor a.βas.te.seˈðoɾ
abastecer a.βas.teˈseɾ
abastecimiento a.βas.te.siˈmjen.to
abastero a.β̞as̪.ˈt̪e.ɾo
abastimiento a.β̞as̪.t̪i.ˈmi̯en̪.t̪o
abatanar a.βa.taˈnaɾ
abatatamiento a.βa.ta.taˈmjen.to
abatatar a.βa.taˈtaɾ
abatidero a.βa.tiˈðe.ɾo
abatidura a.βa.ti.ˈðu.ɾa
abatimiento a.βa.tiˈmjen.to
abatir a.βaˈtiɾ
abatismo a.βaˈtis.mo
abatojar a.βa.toˈxaɾ
abayado a.βaˈʝa.do
abderitano ab.de.ˈɾi.ta.no
abdicar aβ.ðiˈkaɾ
abdicativo aβ.ði.kaˈti.βo
abdomen aβˈðo.men
abdominal aβ.ðo.miˈnal
abductor aβ.ðukˈtoɾ
abecedario a.βe.se.ˈða.ɾjo
abedul a.βe.ˈðul
abeja a.ˈβe.xa
abejar a.be.ˈxar
abejear a.βe.xe.ˈaɾ
abejero a.βeˈxe.ɾo
abejonear a.βe.xo.neˈaɾ
abejorro a.βeˈxo.ro
abejuno a.βe.ˈχu.no
abeldar a.bel.ˈðaɾ
abelmosco a.βelˈmos.ko
abemoladamente a.βe.moˈla.ðaˈmen̪.te
abemolar a.βe.moˈlaɾ
abencerraje a.βen.seˈra.xe
aberenjenado a.βe.ɾen.xeˈna.ðo
aberrante a.βeˈran̪.te
aberrar a.βeˈraɾ
abertal a.βeɾˈtal
abertura a.βeɾˈtu.ra
aberzale a.βeɾˈsa.le
abesana a.beˈsa.na
abetal a.βeˈtal
abetar a.βeˈtaɾ
abete aˈβe.te
abetinote a.βe.tiˈno.te
abeto a.ˈβe.to
abetuna a.βeˈtu.na
abetunar a.βe.tuˈnaɾ
abey aˈβej
abia ˈa.βja
abiar aˈβjaɾ
abicharse a.βiˈtʃaɾ.se
abiertamente a.βjeɾ.taˈmen̪.te
abietino a.βjeˈti.no
abigarramiento a.βi.ɣa.ra.ˈmjen.to
abigarrar a.βi.ɣa.ˈraɾ
abigeato a.βi.xeˈa.to
abigeo a.βiˈxe.o
abigotado a.βi.ɰoˈta.ðo
abinar a.βi.ˈnaɾ
abintestato a.βin.tesˈta.to
abisagrar a.βi.sa.ˈɣɾaɾ
abisal a.β̞iˈsal
abiselar a.βi.seˈlaɾ
abisinio a.βi.ˈsi.njo
abismar a.βisˈmaɾ
abiso aˈβi.so
abitaque a.βi.ˈta.ke
abitar a.βiˈtaɾ
abizcochado a.β̞is.ko.ˈʧa.do
abjurar aβ.xuˈɾaɾ
ablandabrevas a.βlan.daˈβɾe.βas
ablandador a.βlan.ðaˈðoɾ
ablandamiento a.βlan.daˈmien̪.to
ablandar a.βlanˈdaɾ
ablandativo a.blan.da.ˈti.βo
ablandecer a.βlan.deˈseɾ
ablanedo a.blaˈne.ðo
ablano aˈβla.no
ablativo a.blaˈti.βo
ablegado a.βleˈɰa.ðo
ablentador a.βlen̪.taˈðoɾ
ablentar a.βlen̪ˈtaɾ
ablusado a.βluˈsa.ðo
abnegar ap.neˈɰaɾ.se
abobamiento a.βo.βaˈmjen̪.to
abobar a.βoˈβaɾ
abobra aˈβo.βɾa
abocadear a.βo.ka.ðeˈaɾ
abocamiento a.βo.kaˈmjen̪.to
abocanar a.βo.kaˈnaɾ
abocar a.βoˈkaɾ
abocardar a.β̞o.kar.ˈdar
abocelado a.βo.seˈla.ðo
abocetado a.βo.seˈta.ðo
abocetamiento a.βo.se.taˈmjen̪.to
abocetar a.β̞o.se.ˈtar
abochornar a.β̞o.ʧoɾ.ˈnaɾ
abocinamiento a.bo.si.naˈmjen.to
abocinar a.βo.siˈnaɾ
abofarse a.βoˈfaɾ.se
abofeteador a.βo.fe.teaˈðoɾ
abofetear a.βo.fe.teˈaɾ
abogadesco a.βo.ɣaˈðes.ko
abogadil a.βo.ɣaˈðil
abogadismo a.βo.ɰaˈdis.mo
abogador a.βoˈɰa.doɾ
abogamiento a.βo.ɣaˈmjen̪.to
abogar a.βoˈɰaɾ
abohetado a.βo.eˈta.ðo
abolaga a.βoˈla.ɣa
abolengo a.βoˈleŋ.go
abolicionismo a.βo.li.sjoˈnis.mo
abolicionista a.βo.li.sjoˈnis.ta
abolir a.βo.ˈliɾ
abolorio a.βoˈlo.ɾjo
abolsarse a.βolˈsaɾ.se
abomaso a.βo.ˈma.so
abombamiento a.βom.baˈmjen̪.to
abombar a.βomˈbaɾ
abominable a.βo.miˈna.βle
abominar a.βo.miˈnar
abonable a.βoˈna.βle
abonador a.βo.naˈðoɾ
abonanzar a.βo.nanˈsar
abonar a.βoˈnar
abondar a.βon̪ˈdaɾ
abondo aˈβon̪.do
abondoso a.βonˈdo.so
abonero a.βoˈne.ɾo
aboral a.βoˈɾal
abordable a.βoɾ.ˈda.βle
abordador a.βoɾ.ðaˈðoɾ
abordaje a.βoɾ.ða.xe
abordar a.βoɾˈðaɾ
abordonar a.βoɾ.ðoˈnaɾ
aborigen a.boˈɾi.xen
aborlonado a.βoɾ.loˈna.ðo
aborrachado a.βo.raˈtʃa.ðo
aborrajarse a.βo.raˈxaɾ.se
aborrascarse a.βo.rasˈkaɾ.se
